Title,Price,Rating,Image,Type
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Indigo","67,900",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61vTx-Qa1QL._AC_UY218_.jpg,Organic
"Dell G15, 13th Gen Intel Core i5-13450HX Processor, NVIDIA RTX 3050-6GB, (16GB RAM 1TB SSD) FHD 15.6""/39.62 cm, Orange Backlit Keyboard, Win 11, MS Office'24, Dark Shadow Grey, 2.65Kg Gaming Laptop","80,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61ko2a0owDL._AC_UY218_.jpg,Organic
"Zebronics-NS1000 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight, 6 Adjustable Levels.",184,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51B4emQb6yL._AC_UY218_.jpg,Organic
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 1TB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr) Office24, Silver, 1.59kg, FD0552TU, Iris Xe, FHD Camera w/Shutter, Backlit Laptop","64,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71H9R4OoBOL._AC_UY218_.jpg,Organic
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","46,599",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice,Intel Corei5 13thGen 13420H, 16GB RAM, 512GB SSD, FHD 15.6"", Win11, Office Home'24, M365 Basic (1Year)*, Cool Silver, 1.70kg, X1502VA-BQ835WS, Intel UHD iGPU, Laptop","59,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81gNMbbeqvL._AC_UY218_.jpg,Ad
"Lenovo V15 Intel Core i5 13th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite +1Y ADP/1.65 kg), 83CC000EIN","57,910",N/A,https://m.media-amazon.com/images/I/41HjjJGoDYL._AC_UY218_.jpg,Ad
"HP Pavilion Plus, Intel Core i5-1335U-13th Gen Laptop, (16GB LPDDR5x,512GB SSD),IPS, 300 nits, 14''(35.6cm) 2K,Win 11, M365 Basic(1yr), Office Home 24, Silver,1.38kg, 5MP Camera w/Shutter, ew0107TU","64,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61s8J1vGi0L._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop","61,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/818iNyzckGL._AC_UY218_.jpg,Organic
"ASUS Chromebook CX1405 (2026), Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","32,990",2.7 out of 5 stars,https://m.media-amazon.com/images/I/61d+uhYgdNL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop","55,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71zMooVIVAL._AC_UY218_.jpg,Organic
"acer Aspire Lite 12th Gen Intel Core i5-12450H, Office 2024 + M365 Basic, 16GB RAM/512GB SSD, 39.62cm(15.6"") FHD IPS Display Win11H, Pure Silver, 1.7KG,AL15-52H, Backlit KB, Thin & Light Laptop","57,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81qzE9lsXkL._AC_UY218_.jpg,Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU","47,600",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,Organic
Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),"12,990",3.6 out of 5 stars,https://m.media-amazon.com/images/I/71IWq5rtazL._AC_UY218_.jpg,Organic
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","79,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71dyfY6G0aL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Intel Core i3 13th Gen 1315U, 12GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Cool Silver, 1.7Kg, X1504VA-BQ331WS, Intel UHD iGPU, Thin & Light, 42Whrs Laptop","45,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71bIUPAleZL._AC_UY218_.jpg,Ad
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop","60,900",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,Ad
"ASUS Vivobook 15, Smartchoice,Intel Corei5 13thGen 13420H, 16GB RAM, 512GB SSD, FHD 15.6"", Win11, Office Home'24, M365 Basic (1Year)*, Cool Silver, 1.70kg, X1502VA-BQ835WS, Intel UHD iGPU, Laptop","59,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81gNMbbeqvL._AC_UY218_.jpg,Ad
"Lenovo Smartchoice Ideapad Slim 3, 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop","76,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,Ad
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365*Office24, Glacier Silver, 1.59kg, fb0001QU, Backlit, Next-Gen AI Laptop","70,900",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71yaFtjgRzL._AC_UY218_.jpg,Organic
HP Pavilion x360 Backlit KB Laptop,"84,700",4.1 out of 5 stars,https://m.media-amazon.com/images/I/618zAXbM4uL._AC_UY218_.jpg,Organic
"ASUS Chromebook CX1405 (2026), Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop","32,990",2.7 out of 5 stars,https://m.media-amazon.com/images/I/61d+uhYgdNL._AC_UY218_.jpg,Organic
"ASUS Zenbook 14,Intel Core Ultra 7 (Series 2), Intel Arc iGPU,32GB,1TB,3K OLED Touch Screen,14"",Windows 11,M365 Basic (1Year)*,Office 2024,Ponder Blue,1.28 kg UX3405CA-PZ163WS, Thin & Light Laptop","1,15,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71PHl2RQHBL._AC_UY218_.jpg,Organic
"acer Nitro V 15, AMD Ryzen 7-7445HS, NVIDIA GeForce RTX 4050-6 GB, 16GB DDR5, 512GB SSD, FHD IPS, 15.6""/39.62cm, 165Hz, Win 11 Home, Obsidian Black, 2.1KG, ANV15-42, Gaming Laptop","78,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/51WgXPBL4nL._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Neo 13"" Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Blush","74,999",5.0 out of 5 stars,https://m.media-amazon.com/images/I/61dLund7bhL._AC_UY218_.jpg,Organic
"EDNITA Mini Laptop Stand for Desk | Portable Metal PC Desk Stand, Aluminium Cooling Pad Mini Clip Compatible with MacBook Apple Laptop, Lenovo, Dell, Hp, Acer & Other Laptops Pack of-2 (Silver)",188,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61ZejdSL77L._AC_UY218_.jpg,Organic
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop","46,599",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,Organic
"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PBIN","63,990",4.9 out of 5 stars,https://m.media-amazon.com/images/I/71odoZVRgaL._AC_UY218_.jpg,Ad
"ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/1TB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ1297WS","69,990",4.5 out of 5 stars,https://m.media-amazon.com/images/I/81jbZxMzCJL._AC_UY218_.jpg,Ad
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN","47,898",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,Organic
"Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, AI PC, WUXGA-OLED, 14""/35.5cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.39Kg, 83CV00DFIN, AI Powered Laptop","84,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81PaO9Q1WFL._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue","1,11,490",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71kKQjKzW1L._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Silver","1,16,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71upqrupfYL._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Citrus","67,900",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61N2I4e0PNL._AC_UY218_.jpg,Organic
"Primebook 2 Neo (2026) | 6GB RAM, 128GB Storage (Upgradable Upto 512GB) | MediaTek Helio G99 | Android 15 (PrimeOS3.0) | in-Built AI | 11.6” Thin & Light Laptop | Type-C, USB, MicroSD Ports","19,990",4.4 out of 5 stars,https://m.media-amazon.com/images/I/713cu-sW3TL._AC_UY218_.jpg,Organic
"HP 14, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1180TU, FHD Camera, Backlit Laptop","83,490",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81XstkrCA8L._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Blush","65,900",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61dLund7bhL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Intel Core i3 13th Gen 1315U, 12GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, X1504VA-BQ332WS, Intel UHD iGPU, M365 Basic (1Year)*, 42Whrs Laptop","45,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71OUu3JeNIL._AC_UY218_.jpg,Ad
"acer Aspire Lite, 13th Gen, Intel Core i3-1305U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop","48,990",3.7 out of 5 stars,https://m.media-amazon.com/images/I/81A-ZqCxtlL._AC_UY218_.jpg,Ad
"ASUS Vivobook 15, Smartchoice,Intel Corei5 13thGen 13420H, 16GB RAM, 512GB SSD, FHD 15.6"", Win11, Office Home'24, M365 Basic (1Year)*, Cool Silver, 1.70kg, X1502VA-BQ835WS, Intel UHD iGPU, Laptop","59,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/81gNMbbeqvL._AC_UY218_.jpg,Ad
"Lenovo V15 Intel Core i5 13th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite +1Y ADP/1.65 kg), 83CC000EIN","57,910",N/A,https://m.media-amazon.com/images/I/41HjjJGoDYL._AC_UY218_.jpg,Ad
"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Silver","1,16,990",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71upqrupfYL._AC_UY218_.jpg,Organic
"HP 14, Intel Core Ultra 5 125H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1180TU, FHD Camera, Backlit Laptop","83,490",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81XstkrCA8L._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Blush","65,900",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61dLund7bhL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Intel Core i3 13th Gen 1315U, 16GB RAM, 512GB SSD, FHD 15.6"", Touchscreen, Win11, Office Home 2024, M365 Basic (1Year)*, Quiet Blue, 1.7Kg, X1504VA-E83959WS, Intel UHD iGPU, Laptop","49,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71VVn7vu2cL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 16GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Quiet Blue, 1.70 kg, X1504VA-BQ342WS, Laptop","46,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71OUu3JeNIL._AC_UY218_.jpg,Organic
"HP Victus, AMD Ryzen 7 7445HS, 4GB RTX 2050, 16GB DDR5(Upgradable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fb3123AX, Backlit, Gaming Laptop","67,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71qIJPTTD3L._AC_UY218_.jpg,Organic
"Dell Inspiron 15 DC15250 Laptop (Intel Core 3-100U, 8GB DDR5 RAM, 512GB SSD, 15.6"" Full HD Display, Windows 11 Home, MS Office 2024 + Microsoft 365, Carbon Black, 1 Year NBD Warranty)","46,490",N/A,https://m.media-amazon.com/images/I/71ZBa5+qu4L._AC_UY218_.jpg,Organic
"HP Omen, Intel Core i7-14650HX 14th Gen, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0241TX, RGB Gaming Laptop","1,40,990",4.3 out of 5 stars,https://m.media-amazon.com/images/I/710as3-Py1L._AC_UY218_.jpg,Organic
"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PBIN","63,990",4.9 out of 5 stars,https://m.media-amazon.com/images/I/71odoZVRgaL._AC_UY218_.jpg,Ad
